Prefix               ; Length ; Type       ; Tariff        ; Area Code Length ; National Only ; Operator                    ; Format          ; Timezone                                              ; Regions    ; Geocode:en                                                                                                                                                                              ; Provenance ; Comment
238013               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gunning"                                                                                                                                                                               ; GOVERNMENT
238014               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Lost River"                                                                                                                                                                            ; GOVERNMENT
238015               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Marulan"                                                                                                                                                                               ; GOVERNMENT
238016               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Nerriga"                                                                                                                                                                               ; GOVERNMENT
238017               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Paddys River"                                                                                                                                                                          ; GOVERNMENT
238018               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Reidsdale"                                                                                                                                                                             ; GOVERNMENT
238019               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Robertson"                                                                                                                                                                             ; GOVERNMENT
238020               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Rugby"                                                                                                                                                                                 ; GOVERNMENT
238021               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tarago"                                                                                                                                                                                ; GOVERNMENT
238022               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Taralga"                                                                                                                                                                               ; GOVERNMENT
238023               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tuena"                                                                                                                                                                                 ; GOVERNMENT
238024               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Wombeyan Caves"                                                                                                                                                                        ; GOVERNMENT
238025               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Woodhouselee"                                                                                                                                                                          ; GOVERNMENT
238026               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Yerrinbool"                                                                                                                                                                            ; GOVERNMENT
23802[7-9]           ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bowral"                                                                                                                                                                                ; GOVERNMENT
238030               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Barrallier"                                                                                                                                                                            ; GOVERNMENT
238031               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bevendale"                                                                                                                                                                             ; GOVERNMENT
238032               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Binda"                                                                                                                                                                                 ; GOVERNMENT
238033               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bowral"                                                                                                                                                                                ; GOVERNMENT
238034               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Braidwood"                                                                                                                                                                             ; GOVERNMENT
238035               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Breadalbane"                                                                                                                                                                           ; GOVERNMENT
238036               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bundanoon"                                                                                                                                                                             ; GOVERNMENT
238037               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bungonia"                                                                                                                                                                              ; GOVERNMENT
238038               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Crookwell"                                                                                                                                                                             ; GOVERNMENT
238039               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Golspie"                                                                                                                                                                               ; GOVERNMENT
238040               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Goulburn"                                                                                                                                                                              ; GOVERNMENT
238041               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gundillion"                                                                                                                                                                            ; GOVERNMENT
238042               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gunning"                                                                                                                                                                               ; GOVERNMENT
238043               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Lost River"                                                                                                                                                                            ; GOVERNMENT
238044               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Marulan"                                                                                                                                                                               ; GOVERNMENT
238045               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Nerriga"                                                                                                                                                                               ; GOVERNMENT
238046               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Paddys River"                                                                                                                                                                          ; GOVERNMENT
238047               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Reidsdale"                                                                                                                                                                             ; GOVERNMENT
