Prefix               ; Length ; Type       ; Tariff        ; Area Code Length ; National Only ; Operator                    ; Format          ; Timezone                                              ; Regions    ; Geocode:en                                                                                                                                                                              ; Provenance ; Comment
2592675              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Barellan"                                                                                                                                                                              ; GOVERNMENT
2592676              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Barmedman"                                                                                                                                                                             ; GOVERNMENT
2592677              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Barmedman East"                                                                                                                                                                        ; GOVERNMENT
2592678              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Batlow"                                                                                                                                                                                ; GOVERNMENT
2592679              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bethungra"                                                                                                                                                                             ; GOVERNMENT
2592680              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bidgeemia"                                                                                                                                                                             ; GOVERNMENT
2592681              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Black Stump"                                                                                                                                                                           ; GOVERNMENT
2592682              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Booroorban"                                                                                                                                                                            ; GOVERNMENT
2592683              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Boree Creek"                                                                                                                                                                           ; GOVERNMENT
2592684              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bunda"                                                                                                                                                                                 ; GOVERNMENT
2592685              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bundure"                                                                                                                                                                               ; GOVERNMENT
2592686              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Burcher"                                                                                                                                                                               ; GOVERNMENT
2592687              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Burra"                                                                                                                                                                                 ; GOVERNMENT
2592688              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Carabost"                                                                                                                                                                              ; GOVERNMENT
2592689              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Carrathool"                                                                                                                                                                            ; GOVERNMENT
2592690              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Coleambally"                                                                                                                                                                           ; GOVERNMENT
2592691              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Coolac"                                                                                                                                                                                ; GOVERNMENT
2592692              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Coolamon"                                                                                                                                                                              ; GOVERNMENT
2592693              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Cootamundra"                                                                                                                                                                           ; GOVERNMENT
2592694              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Cowabbie"                                                                                                                                                                              ; GOVERNMENT
2592695              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Currawarna"                                                                                                                                                                            ; GOVERNMENT
2592696              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Darlington Point"                                                                                                                                                                      ; GOVERNMENT
2592697              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Egansford"                                                                                                                                                                             ; GOVERNMENT
2592698              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gala Vale"                                                                                                                                                                             ; GOVERNMENT
2592699              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Galore"                                                                                                                                                                                ; GOVERNMENT
2592700              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Ganmain"                                                                                                                                                                               ; GOVERNMENT
2592701              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Goolgowi"                                                                                                                                                                              ; GOVERNMENT
2592702              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Griffith"                                                                                                                                                                              ; GOVERNMENT
2592703              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Grong Grong"                                                                                                                                                                           ; GOVERNMENT
2592704              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gunbar"                                                                                                                                                                                ; GOVERNMENT
2592705              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gundagai"                                                                                                                                                                              ; GOVERNMENT
2592706              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Hay"                                                                                                                                                                                   ; GOVERNMENT
2592707              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Henty"                                                                                                                                                                                 ; GOVERNMENT
2592708              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Hillston"                                                                                                                                                                              ; GOVERNMENT
2592709              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Humula"                                                                                                                                                                                ; GOVERNMENT
2592710              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Ivanhoe"                                                                                                                                                                               ; GOVERNMENT
2592711              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Junee"                                                                                                                                                                                 ; GOVERNMENT
2592712              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Junee Reefs"                                                                                                                                                                           ; GOVERNMENT
2592713              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Kikoira"                                                                                                                                                                               ; GOVERNMENT
2592714              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Kyeamba"                                                                                                                                                                               ; GOVERNMENT
2592715              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Lachlan"                                                                                                                                                                               ; GOVERNMENT
2592716              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Landervale"                                                                                                                                                                            ; GOVERNMENT
2592717              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Leeton"                                                                                                                                                                                ; GOVERNMENT
2592718              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Lockhart"                                                                                                                                                                              ; GOVERNMENT
2592719              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Mangoplah"                                                                                                                                                                             ; GOVERNMENT
2592720              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Mannus"                                                                                                                                                                                ; GOVERNMENT
2592721              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Marsden"                                                                                                                                                                               ; GOVERNMENT
2592722              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Maude"                                                                                                                                                                                 ; GOVERNMENT
2592723              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Melbergen"                                                                                                                                                                             ; GOVERNMENT
2592724              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Merriwagga"                                                                                                                                                                            ; GOVERNMENT
2592725              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Milbrulong"                                                                                                                                                                            ; GOVERNMENT
2592726              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Morundah"                                                                                                                                                                              ; GOVERNMENT
2592727              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Nangus"                                                                                                                                                                                ; GOVERNMENT
2592728              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Narraburra"                                                                                                                                                                            ; GOVERNMENT
2592729              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Narrandera"                                                                                                                                                                            ; GOVERNMENT
2592730              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Rankins Springs"                                                                                                                                                                       ; GOVERNMENT
2592731              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Rannock"                                                                                                                                                                               ; GOVERNMENT
2592732              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Sandigo"                                                                                                                                                                               ; GOVERNMENT
2592733              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Springdale"                                                                                                                                                                            ; GOVERNMENT
2592734              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Stanbridge"                                                                                                                                                                            ; GOVERNMENT
2592735              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Stockinbingal"                                                                                                                                                                         ; GOVERNMENT
2592736              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Talbingo"                                                                                                                                                                              ; GOVERNMENT
2592737              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tallimba"                                                                                                                                                                              ; GOVERNMENT
2592738              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tarcutta"                                                                                                                                                                              ; GOVERNMENT
2592739              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Temora"                                                                                                                                                                                ; GOVERNMENT
2592740              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "The Rock"                                                                                                                                                                              ; GOVERNMENT
2592741              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tooma"                                                                                                                                                                                 ; GOVERNMENT
2592742              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tullibigeal"                                                                                                                                                                           ; GOVERNMENT
2592743              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tumbarumba"                                                                                                                                                                            ; GOVERNMENT
2592744              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tumorrama"                                                                                                                                                                             ; GOVERNMENT
2592745              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tumut"                                                                                                                                                                                 ; GOVERNMENT
2592746              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Ungarie"                                                                                                                                                                               ; GOVERNMENT
2592747              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Urana"                                                                                                                                                                                 ; GOVERNMENT
2592748              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Wagga Wagga"                                                                                                                                                                           ; GOVERNMENT
2592749              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Wallanthery"                                                                                                                                                                           ; GOVERNMENT
2592750              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Wallendbeen"                                                                                                                                                                           ; GOVERNMENT
2592751              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Wantabadgery"                                                                                                                                                                          ; GOVERNMENT
2592752              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Warralonga"                                                                                                                                                                            ; GOVERNMENT
2592753              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Warrawidgee"                                                                                                                                                                           ; GOVERNMENT
2592754              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Wee Elwah"                                                                                                                                                                             ; GOVERNMENT
2592755              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Weethalle"                                                                                                                                                                             ; GOVERNMENT
2592756              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "West Wyalong"                                                                                                                                                                          ; GOVERNMENT
2592757              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Winchendon Vale"                                                                                                                                                                       ; GOVERNMENT
2592758              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Yaven Creek"                                                                                                                                                                           ; GOVERNMENT
2592759              ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Yenda"                                                                                                                                                                                 ; GOVERNMENT
259276               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Yenda"                                                                                                                                                                                 ; GOVERNMENT
259277               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bambilla"                                                                                                                                                                              ; GOVERNMENT
259278               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Barellan"                                                                                                                                                                              ; GOVERNMENT
259279               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Barmedman"                                                                                                                                                                             ; GOVERNMENT
259280               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Barmedman East"                                                                                                                                                                        ; GOVERNMENT
259281               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bidgeemia"                                                                                                                                                                             ; GOVERNMENT
259282               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Black Stump"                                                                                                                                                                           ; GOVERNMENT
259283               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Boree Creek"                                                                                                                                                                           ; GOVERNMENT
259284               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bunda"                                                                                                                                                                                 ; GOVERNMENT
259285               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bundure"                                                                                                                                                                               ; GOVERNMENT
259286               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Burcher"                                                                                                                                                                               ; GOVERNMENT
259287               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Burra"                                                                                                                                                                                 ; GOVERNMENT
259288               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Carrathool"                                                                                                                                                                            ; GOVERNMENT
259289               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Coolac"                                                                                                                                                                                ; GOVERNMENT
259290               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Coolamon"                                                                                                                                                                              ; GOVERNMENT
259291               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Cowabbie"                                                                                                                                                                              ; GOVERNMENT
259292               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Currawarna"                                                                                                                                                                            ; GOVERNMENT
259293               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Darlington Point"                                                                                                                                                                      ; GOVERNMENT
259294               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Egansford"                                                                                                                                                                             ; GOVERNMENT
259295               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gala Vale"                                                                                                                                                                             ; GOVERNMENT
259296               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Ganmain"                                                                                                                                                                               ; GOVERNMENT
259297               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Goolgowi"                                                                                                                                                                              ; GOVERNMENT
259298               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Grong Grong"                                                                                                                                                                           ; GOVERNMENT
259299               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gunbar"                                                                                                                                                                                ; GOVERNMENT
259300               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Hay"                                                                                                                                                                                   ; GOVERNMENT
